Source	Target	MI
ENSG00000122884	HSA-MIR-2355	0.180251
ENSG00000100083	HSA-MIR-199A-1	0.180231
ENSG00000068971	HSA-MIR-224	0.180218
ENSG00000138688	HSA-MIR-188	0.1801
ENSG00000213995	HSA-MIR-20A	0.179955
ENSG00000253731	HSA-MIR-25	0.179824
ENSG00000278558	HSA-MIR-181B-1	0.17982
ENSG00000144452	HSA-MIR-106A	0.179775
ENSG00000226763	HSA-MIR-4677	0.179755
ENSG00000125534	HSA-MIR-224	0.179693
ENSG00000100100	HSA-MIR-744	0.179404
ENSG00000134748	HSA-MIR-374B	0.179027
ENSG00000161057	HSA-MIR-106B	0.17902
ENSG00000158864	HSA-MIR-188	0.178795
ENSG00000120149	HSA-MIR-744	0.178563
ENSG00000118181	HSA-MIR-146A	0.178409
ENSG00000180900	HSA-MIR-24-1	0.178404
ENSG00000165757	HSA-MIR-18A	0.17837
ENSG00000129003	HSA-MIR-589	0.178329
ENSG00000159692	HSA-MIR-125A	0.178272
ENSG00000008196	HSA-MIR-3605	0.177997
ENSG00000167693	HSA-MIR-450A-2	0.177812
ENSG00000103034	HSA-MIR-744	0.177787
ENSG00000172366	HSA-MIR-181A-1	0.177674
ENSG00000122025	HSA-MIR-214	0.177591
ENSG00000100292	HSA-MIR-99A	0.177301
ENSG00000072657	HSA-LET-7D	0.177248
ENSG00000112282	HSA-MIR-625	0.177242
ENSG00000198771	HSA-MIR-27A	0.177144
ENSG00000164344	HSA-MIR-125B-2	0.176949
ENSG00000101138	HSA-MIR-26A-1	0.176884
ENSG00000162819	HSA-MIR-135A-2	0.176874
ENSG00000171960	HSA-MIR-424	0.176833
ENSG00000132854	HSA-MIR-101-2	0.176799
ENSG00000137494	HSA-MIR-93	0.176688
ENSG00000278570	HSA-MIR-660	0.176603
ENSG00000168703	HSA-MIR-615	0.176581
ENSG00000164344	HSA-MIR-125B-1	0.176446
ENSG00000168306	HSA-MIR-200B	0.17642
ENSG00000130234	HSA-MIR-106B	0.176233
ENSG00000260802	HSA-MIR-455	0.176163
ENSG00000166321	HSA-MIR-30D	0.175989
ENSG00000103222	HSA-MIR-326	0.175967
ENSG00000198718	HSA-MIR-3065	0.175899
ENSG00000160013	HSA-MIR-148A	0.17575
ENSG00000129824	HSA-MIR-1271	0.175718
ENSG00000186765	HSA-MIR-1270	0.175668
ENSG00000143340	HSA-MIR-141	0.175431
ENSG00000187474	HSA-MIR-675	0.175421
ENSG00000132581	HSA-MIR-362	0.175404
ENSG00000138100	HSA-MIR-98	0.175372
ENSG00000104043	HSA-MIR-181A-1	0.175368
ENSG00000197858	HSA-MIR-31	0.175317
ENSG00000133256	HSA-MIR-223	0.175275
ENSG00000122565	HSA-MIR-92B	0.175177
ENSG00000117598	HSA-MIR-584	0.175159
ENSG00000227345	HSA-MIR-744	0.174638
ENSG00000155016	HSA-MIR-660	0.174627
ENSG00000147799	HSA-MIR-598	0.174619
ENSG00000178726	HSA-MIR-149	0.174539
ENSG00000079246	HSA-MIR-133A-2	0.174479
ENSG00000079308	HSA-MIR-27A	0.174473
ENSG00000102547	HSA-MIR-200A	0.174403
ENSG00000085365	HSA-MIR-15A	0.174329
ENSG00000125629	HSA-MIR-1307	0.174243
ENSG00000182667	HSA-MIR-92B	0.174135
ENSG00000166507	HSA-MIR-629	0.174122
ENSG00000143612	HSA-MIR-188	0.174116
ENSG00000115267	HSA-MIR-29B-2	0.17404
ENSG00000277258	HSA-MIR-450B	0.173998
ENSG00000139880	HSA-MIR-199B	0.173989
ENSG00000182095	HSA-MIR-222	0.173897
ENSG00000019995	HSA-MIR-590	0.17385
ENSG00000055813	HSA-MIR-199A-1	0.173846
ENSG00000035664	HSA-MIR-365B	0.173846
ENSG00000184857	HSA-MIR-375	0.173833
ENSG00000094841	HSA-MIR-501	0.17381
ENSG00000117118	HSA-MIR-582	0.173779
ENSG00000172466	HSA-LET-7D	0.173716
