Source	Target	MI
ENSG00000165186	HSA-MIR-1-2	0.185428
ENSG00000133392	HSA-MIR-1-2	0.18537
ENSG00000125354	HSA-MIR-196B	0.185208
ENSG00000145936	HSA-MIR-133A-1	0.185192
ENSG00000037280	HSA-MIR-874	0.185122
ENSG00000164929	HSA-MIR-190A	0.185065
ENSG00000170271	HSA-MIR-17	0.185042
ENSG00000091039	HSA-MIR-145	0.184999
ENSG00000162599	HSA-MIR-142	0.184893
ENSG00000232040	HSA-MIR-362	0.184761
ENSG00000166897	HSA-MIR-30A	0.184716
ENSG00000066926	HSA-MIR-330	0.184685
ENSG00000113946	HSA-MIR-708	0.18467
ENSG00000187720	HSA-MIR-338	0.184582
ENSG00000169994	HSA-MIR-30A	0.184513
ENSG00000100628	HSA-MIR-150	0.184352
ENSG00000136379	HSA-MIR-30C-2	0.184243
ENSG00000184916	HSA-MIR-190A	0.18405
ENSG00000197046	HSA-MIR-190A	0.184041
ENSG00000164283	HSA-MIR-34C	0.183983
ENSG00000064115	HSA-MIR-190A	0.18392
ENSG00000100227	HSA-MIR-196B	0.183845
ENSG00000182263	HSA-MIR-362	0.183786
ENSG00000116785	HSA-MIR-139	0.183717
ENSG00000114251	HSA-MIR-224	0.183626
ENSG00000100246	HSA-MIR-196B	0.183551
ENSG00000271447	HSA-MIR-532	0.183528
ENSG00000105559	HSA-MIR-224	0.183476
ENSG00000163017	HSA-MIR-1-1	0.183225
ENSG00000157445	HSA-MIR-142	0.183142
ENSG00000166501	HSA-MIR-150	0.183079
ENSG00000136274	HSA-MIR-708	0.182763
ENSG00000131979	HSA-MIR-1296	0.182298
ENSG00000173175	HSA-MIR-190A	0.182291
ENSG00000137880	HSA-MIR-30A	0.18223
ENSG00000141506	HSA-MIR-223	0.1822
ENSG00000166897	HSA-MIR-135A-2	0.182082
ENSG00000196218	HSA-MIR-532	0.181906
ENSG00000162460	HSA-MIR-98	0.181893
ENSG00000140807	HSA-MIR-874	0.181866
ENSG00000196659	HSA-MIR-452	0.181823
ENSG00000117155	HSA-MIR-190A	0.18178
ENSG00000066697	HSA-MIR-30A	0.181776
ENSG00000213853	HSA-MIR-501	0.181568
ENSG00000157315	HSA-MIR-190A	0.181514
ENSG00000135999	HSA-MIR-152	0.1815
ENSG00000108381	HSA-MIR-190A	0.181425
ENSG00000183117	HSA-MIR-338	0.18141
ENSG00000114251	HSA-MIR-452	0.181336
ENSG00000160691	HSA-MIR-203B	0.181177
ENSG00000100628	HSA-MIR-1-2	0.18117
ENSG00000105875	HSA-MIR-1296	0.181078
ENSG00000182199	HSA-MIR-130A	0.181049
ENSG00000153292	HSA-MIR-92A-1	0.180968
ENSG00000169727	HSA-MIR-30A	0.180688
ENSG00000198467	HSA-MIR-1-1	0.180569
ENSG00000062096	HSA-MIR-15A	0.180532
ENSG00000135045	HSA-MIR-190A	0.180378
ENSG00000153292	HSA-MIR-92A-2	0.180195
ENSG00000164120	HSA-MIR-452	0.180121
ENSG00000164125	HSA-MIR-429	0.180043
ENSG00000154305	HSA-MIR-362	0.179986
ENSG00000154639	HSA-MIR-190A	0.179979
ENSG00000006756	HSA-MIR-92B	0.179968
ENSG00000197780	HSA-MIR-186	0.179909
ENSG00000134419	HSA-MIR-203A	0.179818
ENSG00000196659	HSA-MIR-224	0.179723
ENSG00000147206	HSA-MIR-29C	0.179709
ENSG00000174233	HSA-MIR-374B	0.179682
ENSG00000165186	HSA-MIR-1-1	0.179394
ENSG00000105669	HSA-MIR-452	0.179356
ENSG00000125354	HSA-MIR-708	0.179336
ENSG00000142675	HSA-MIR-15A	0.179242
ENSG00000177380	HSA-MIR-369	0.179182
ENSG00000119403	HSA-MIR-133A-2	0.179155
ENSG00000186106	HSA-MIR-190A	0.17912
ENSG00000163534	HSA-MIR-150	0.178913
ENSG00000243649	HSA-MIR-194-1	0.178838
ENSG00000143771	HSA-MIR-224	0.178782
ENSG00000118526	HSA-MIR-874	0.178737
ENSG00000149596	HSA-MIR-1-1	0.178618
ENSG00000130706	HSA-MIR-1251	0.178612
ENSG00000143183	HSA-MIR-139	0.178571
ENSG00000180767	HSA-MIR-190A	0.178521
ENSG00000103187	HSA-MIR-30A	0.178476
ENSG00000174915	HSA-MIR-16-2	0.178126
ENSG00000103496	HSA-MIR-183	0.178118
ENSG00000109189	HSA-MIR-29C	0.178
ENSG00000274349	HSA-MIR-224	0.177936
ENSG00000169031	HSA-MIR-191	0.177926
ENSG00000137880	HSA-MIR-190A	0.177919
ENSG00000165730	HSA-MIR-708	0.177888
ENSG00000155465	HSA-MIR-452	0.17774
ENSG00000158816	HSA-MIR-505	0.177733
ENSG00000174607	HSA-MIR-190A	0.177681
ENSG00000130876	HSA-MIR-200C	0.177626
ENSG00000155755	HSA-MIR-190A	0.177551
ENSG00000081818	HSA-MIR-200B	0.177543
ENSG00000213064	HSA-MIR-150	0.177521
ENSG00000006451	HSA-LET-7A-3	0.177333
ENSG00000185811	HSA-MIR-142	0.177284
ENSG00000197563	HSA-MIR-365B	0.177226
ENSG00000197563	HSA-MIR-365A	0.177112
ENSG00000164251	HSA-MIR-214	0.177086
ENSG00000066697	HSA-MIR-190A	0.17708
ENSG00000165125	HSA-MIR-891A	0.177045
ENSG00000135821	HSA-MIR-130A	0.176956
ENSG00000070018	HSA-MIR-203B	0.176851
ENSG00000159263	HSA-MIR-338	0.176728
ENSG00000189108	HSA-MIR-182	0.176727
ENSG00000117450	HSA-MIR-190A	0.176557
ENSG00000117899	HSA-MIR-744	0.176508
ENSG00000157766	HSA-MIR-338	0.176475
ENSG00000164116	HSA-MIR-324	0.176242
ENSG00000176532	HSA-MIR-23A	0.176203
ENSG00000140470	HSA-MIR-187	0.176178
ENSG00000198815	HSA-MIR-532	0.176145
ENSG00000117266	HSA-MIR-190A	0.176127
ENSG00000182718	HSA-MIR-708	0.176121
ENSG00000182827	HSA-MIR-708	0.176121
ENSG00000143891	HSA-MIR-30A	0.176073
ENSG00000177570	HSA-MIR-200A	0.175996
ENSG00000086159	HSA-MIR-3065	0.175917
ENSG00000163898	HSA-MIR-296	0.175876
ENSG00000183114	HSA-MIR-203B	0.175794
ENSG00000158864	HSA-MIR-511	0.175459
ENSG00000116903	HSA-MIR-224	0.175357
ENSG00000197249	HSA-MIR-217	0.1752
ENSG00000104419	HSA-MIR-217	0.17517
ENSG00000156113	HSA-MIR-1-1	0.175027
ENSG00000140688	HSA-MIR-210	0.175026
