Source	Target	MI
ENSG00000149256	HSA-MIR-708	0.308766
ENSG00000106484	HSA-MIR-335	0.307623
ENSG00000078399	HSA-MIR-196B	0.291577
ENSG00000120093	HSA-MIR-10A	0.278448
ENSG00000102287	HSA-MIR-452	0.26994
ENSG00000005243	HSA-MIR-152	0.267352
ENSG00000197406	HSA-MIR-1247	0.259206
ENSG00000253293	HSA-MIR-196B	0.256302
ENSG00000102287	HSA-MIR-224	0.242787
ENSG00000182742	HSA-MIR-10A	0.224349
ENSG00000171044	HSA-MIR-598	0.219353
ENSG00000179603	HSA-MIR-592	0.213313
ENSG00000119943	HSA-MIR-1287	0.193103
ENSG00000180818	HSA-MIR-196A-2	0.185174
ENSG00000122592	HSA-MIR-196B	0.181717
ENSG00000173917	HSA-MIR-10A	0.17347
ENSG00000186642	HSA-MIR-139	0.167746
ENSG00000180818	HSA-MIR-196A-1	0.167593
ENSG00000145147	HSA-MIR-218-1	0.167544
ENSG00000106006	HSA-MIR-196B	0.165632
ENSG00000175414	HSA-MIR-1271	0.158265
ENSG00000196405	HSA-MIR-342	0.155667
ENSG00000172995	HSA-MIR-128-1	0.154865
ENSG00000174607	HSA-MIR-577	0.141977
ENSG00000147684	HSA-MIR-30D	0.141895
ENSG00000175866	HSA-MIR-3065	0.141776
ENSG00000033170	HSA-MIR-625	0.141658
ENSG00000172995	HSA-MIR-128-2	0.139174
ENSG00000131951	HSA-MIR-1287	0.136275
ENSG00000166183	HSA-MIR-203A	0.135369
ENSG00000176715	HSA-MIR-155	0.134664
ENSG00000115607	HSA-MIR-4772	0.134446
ENSG00000157087	HSA-MIR-885	0.134378
ENSG00000184060	HSA-MIR-142	0.130021
ENSG00000179091	HSA-MIR-30D	0.129285
ENSG00000047579	HSA-MIR-16-1	0.128878
ENSG00000164983	HSA-MIR-151A	0.128726
ENSG00000108511	HSA-MIR-10A	0.12835
ENSG00000204152	HSA-MIR-194-1	0.128218
ENSG00000111405	HSA-MIR-1976	0.12816
ENSG00000197724	HSA-MIR-16-1	0.12709
ENSG00000124383	HSA-MIR-501	0.127036
ENSG00000101181	HSA-MIR-26A-1	0.125751
ENSG00000204152	HSA-MIR-194-2	0.125674
ENSG00000244694	HSA-MIR-34A	0.12534
ENSG00000168575	HSA-MIR-338	0.123025
ENSG00000047579	HSA-MIR-16-2	0.122897
ENSG00000263001	HSA-MIR-489	0.122478
ENSG00000006534	HSA-MIR-29B-2	0.122459
ENSG00000141052	HSA-MIR-199A-1	0.122051
ENSG00000250479	HSA-LET-7G	0.121803
ENSG00000242114	HSA-MIR-125B-1	0.121488
ENSG00000260027	HSA-MIR-10A	0.121406
ENSG00000183036	HSA-MIR-145	0.120606
ENSG00000198901	HSA-MIR-381	0.120469
ENSG00000172172	HSA-MIR-30D	0.120358
ENSG00000083067	HSA-MIR-204	0.120293
ENSG00000101181	HSA-MIR-26A-2	0.120258
ENSG00000096092	HSA-MIR-374B	0.120003
ENSG00000066629	HSA-MIR-103A-2	0.119759
ENSG00000089818	HSA-MIR-24-2	0.119626
ENSG00000148120	HSA-MIR-27B	0.11894
ENSG00000242114	HSA-MIR-125B-2	0.118935
ENSG00000145012	HSA-MIR-28	0.118426
ENSG00000134853	HSA-MIR-1-1	0.118388
ENSG00000128833	HSA-MIR-1266	0.117134
ENSG00000130714	HSA-MIR-101-2	0.116706
ENSG00000187556	HSA-MIR-675	0.116597
ENSG00000130714	HSA-MIR-101-1	0.116481
ENSG00000171421	HSA-MIR-337	0.116477
ENSG00000089723	HSA-MIR-196B	0.115969
ENSG00000281406	HSA-MIR-135B	0.115744
ENSG00000134014	HSA-MIR-342	0.115402
ENSG00000147168	HSA-MIR-429	0.11537
ENSG00000186810	HSA-MIR-103A-2	0.115195
ENSG00000164877	HSA-MIR-20A	0.115053
ENSG00000132475	HSA-MIR-497	0.114845
