Source	Target	MI
ENSG00000102287	HSA-MIR-452	0.324287
ENSG00000102287	HSA-MIR-224	0.284004
ENSG00000149256	HSA-MIR-708	0.269265
ENSG00000106484	HSA-MIR-335	0.259109
ENSG00000078399	HSA-MIR-196B	0.256991
ENSG00000005243	HSA-MIR-152	0.247532
ENSG00000171044	HSA-MIR-598	0.212295
ENSG00000033170	HSA-MIR-625	0.205032
ENSG00000197406	HSA-MIR-1247	0.200566
ENSG00000174607	HSA-MIR-577	0.194525
ENSG00000179603	HSA-MIR-592	0.1904
ENSG00000128512	HSA-MIR-497	0.18824
ENSG00000253293	HSA-MIR-196B	0.18407
ENSG00000075426	HSA-MIR-23B	0.179982
ENSG00000135842	HSA-MIR-197	0.177243
ENSG00000239282	HSA-MIR-221	0.173624
ENSG00000142556	HSA-MIR-1270	0.170435
ENSG00000136110	HSA-MIR-4668	0.169555
ENSG00000122592	HSA-MIR-196B	0.169134
ENSG00000176909	HSA-MIR-3065	0.168983
ENSG00000160339	HSA-MIR-592	0.166712
ENSG00000136573	HSA-MIR-431	0.166601
ENSG00000139826	HSA-MIR-126	0.164291
ENSG00000109667	HSA-MIR-497	0.163067
ENSG00000144043	HSA-MIR-1270	0.16258
ENSG00000182087	HSA-MIR-148B	0.162045
ENSG00000077721	HSA-MIR-574	0.161768
ENSG00000168685	HSA-MIR-150	0.16137
ENSG00000204308	HSA-MIR-576	0.16113
ENSG00000163596	HSA-MIR-93	0.160914
ENSG00000143457	HSA-MIR-29C	0.159922
ENSG00000180818	HSA-MIR-196A-2	0.159298
ENSG00000183508	HSA-MIR-148A	0.159139
ENSG00000260314	HSA-MIR-511	0.158042
ENSG00000125741	HSA-MIR-15A	0.156221
ENSG00000180818	HSA-MIR-196A-1	0.15466
ENSG00000144485	HSA-MIR-584	0.154534
ENSG00000146083	HSA-MIR-142	0.154031
ENSG00000135916	HSA-MIR-23A	0.153829
ENSG00000174521	HSA-MIR-625	0.152551
ENSG00000112237	HSA-MIR-27A	0.152439
ENSG00000108379	HSA-MIR-103A-1	0.152392
ENSG00000170525	HSA-MIR-598	0.152309
ENSG00000213397	HSA-MIR-629	0.15175
ENSG00000183580	HSA-MIR-887	0.151234
ENSG00000101558	HSA-MIR-100	0.151165
ENSG00000196526	HSA-LET-7E	0.150622
ENSG00000188641	HSA-MIR-27B	0.150551
ENSG00000163563	HSA-MIR-223	0.150093
ENSG00000170638	HSA-MIR-514A-2	0.150077
ENSG00000171724	HSA-MIR-195	0.149796
ENSG00000174485	HSA-MIR-27A	0.148584
ENSG00000162980	HSA-MIR-660	0.148401
ENSG00000170561	HSA-MIR-199B	0.147926
ENSG00000115935	HSA-MIR-151A	0.147925
ENSG00000101150	HSA-LET-7B	0.14765
ENSG00000106018	HSA-MIR-1-1	0.147584
ENSG00000170561	HSA-MIR-199A-2	0.147381
ENSG00000172594	HSA-MIR-1251	0.147292
ENSG00000172995	HSA-MIR-128-1	0.147123
ENSG00000108379	HSA-MIR-103A-2	0.147112
ENSG00000198873	HSA-MIR-381	0.146967
ENSG00000163322	HSA-MIR-26B	0.14687
ENSG00000066468	HSA-MIR-887	0.146866
ENSG00000085224	HSA-MIR-19B-1	0.146811
ENSG00000174672	HSA-MIR-574	0.146778
ENSG00000138032	HSA-MIR-335	0.146763
ENSG00000106086	HSA-MIR-200B	0.14661
ENSG00000151131	HSA-MIR-1266	0.146116
ENSG00000105968	HSA-MIR-615	0.145725
ENSG00000100206	HSA-MIR-1266	0.145709
ENSG00000211455	HSA-MIR-193A	0.145483
ENSG00000181991	HSA-LET-7B	0.145438
ENSG00000253537	HSA-MIR-203A	0.145315
ENSG00000170464	HSA-MIR-134	0.145212
ENSG00000138135	HSA-MIR-181C	0.145149
ENSG00000100285	HSA-MIR-769	0.145099
ENSG00000092009	HSA-MIR-1296	0.145025
ENSG00000135018	HSA-MIR-450A-2	0.144643
ENSG00000188283	HSA-MIR-361	0.144297
ENSG00000134086	HSA-MIR-374A	0.144185
ENSG00000166106	HSA-MIR-23B	0.144068
ENSG00000144648	HSA-MIR-218-1	0.14389
ENSG00000127325	HSA-MIR-148B	0.143486
ENSG00000176248	HSA-MIR-455	0.143343
ENSG00000183309	HSA-MIR-576	0.143254
ENSG00000163958	HSA-MIR-133A-1	0.143236
ENSG00000005810	HSA-MIR-130B	0.143126
ENSG00000168438	HSA-MIR-205	0.143054
ENSG00000175782	HSA-MIR-34C	0.143037
ENSG00000167861	HSA-MIR-125B-1	0.142986
ENSG00000104611	HSA-MIR-324	0.142915
ENSG00000163820	HSA-MIR-18A	0.1428
ENSG00000160908	HSA-MIR-151A	0.142772
ENSG00000196576	HSA-MIR-338	0.142609
ENSG00000143207	HSA-MIR-181C	0.142561
ENSG00000036672	HSA-MIR-19A	0.142524
ENSG00000110344	HSA-MIR-99A	0.142447
