Source	Target	MI
ENSG00000149256	HSA-MIR-708	0.311381
ENSG00000253293	HSA-MIR-196B	0.307699
ENSG00000078399	HSA-MIR-196B	0.286005
ENSG00000102287	HSA-MIR-452	0.241671
ENSG00000106484	HSA-MIR-335	0.238432
ENSG00000172995	HSA-MIR-128-1	0.22766
ENSG00000172995	HSA-MIR-128-2	0.218693
ENSG00000197406	HSA-MIR-1247	0.216549
ENSG00000171044	HSA-MIR-598	0.212745
ENSG00000179603	HSA-MIR-592	0.203766
ENSG00000005243	HSA-MIR-152	0.196705
ENSG00000120093	HSA-MIR-10A	0.190096
ENSG00000182742	HSA-MIR-10A	0.183262
ENSG00000108511	HSA-MIR-10A	0.167907
ENSG00000102287	HSA-MIR-224	0.166569
ENSG00000122592	HSA-MIR-196B	0.164264
ENSG00000166183	HSA-MIR-203A	0.155893
ENSG00000120068	HSA-MIR-10A	0.15282
ENSG00000175414	HSA-MIR-1271	0.150446
ENSG00000167244	HSA-MIR-483	0.146829
ENSG00000168685	HSA-MIR-150	0.143577
ENSG00000173917	HSA-MIR-10A	0.142899
ENSG00000186642	HSA-MIR-139	0.136938
ENSG00000180818	HSA-MIR-196A-2	0.135698
ENSG00000260027	HSA-MIR-10A	0.134368
ENSG00000196405	HSA-MIR-342	0.133964
ENSG00000180818	HSA-MIR-196A-1	0.130524
ENSG00000157087	HSA-MIR-885	0.126229
ENSG00000004948	HSA-MIR-653	0.125109
ENSG00000123388	HSA-MIR-196A-1	0.123229
ENSG00000174607	HSA-MIR-577	0.120334
ENSG00000141293	HSA-MIR-10A	0.114593
ENSG00000145147	HSA-MIR-218-2	0.111697
ENSG00000123388	HSA-MIR-196A-2	0.110801
ENSG00000119943	HSA-MIR-1287	0.109945
ENSG00000115607	HSA-MIR-4772	0.104643
ENSG00000145147	HSA-MIR-218-1	0.10217
ENSG00000105419	HSA-MIR-145	0.0994012
ENSG00000063660	HSA-MIR-149	0.0967182
ENSG00000120075	HSA-MIR-10A	0.096404
ENSG00000197757	HSA-MIR-196A-2	0.0945482
ENSG00000197757	HSA-MIR-196A-1	0.0938205
ENSG00000198353	HSA-MIR-615	0.0934412
ENSG00000160339	HSA-MIR-1247	0.0929724
ENSG00000113721	HSA-MIR-145	0.0924242
ENSG00000033170	HSA-MIR-625	0.0923043
ENSG00000178691	HSA-MIR-423	0.091595
ENSG00000151617	HSA-MIR-145	0.091249
ENSG00000145012	HSA-MIR-28	0.0905792
ENSG00000198353	HSA-MIR-196A-2	0.089257
ENSG00000168237	HSA-MIR-29B-1	0.0886409
ENSG00000101974	HSA-MIR-532	0.0884269
ENSG00000175866	HSA-MIR-3065	0.0880977
ENSG00000106006	HSA-MIR-196B	0.0867106
ENSG00000148120	HSA-MIR-27B	0.0867039
ENSG00000073861	HSA-MIR-4772	0.0862777
ENSG00000128652	HSA-MIR-10B	0.0845515
ENSG00000135083	HSA-MIR-582	0.0841826
ENSG00000198353	HSA-MIR-196A-1	0.0839661
ENSG00000197024	HSA-MIR-29A	0.0838565
ENSG00000147684	HSA-MIR-30D	0.0835631
ENSG00000108946	HSA-MIR-423	0.082817
ENSG00000173546	HSA-MIR-145	0.0826524
ENSG00000184995	HSA-MIR-31	0.0823639
ENSG00000170689	HSA-MIR-10A	0.0822648
ENSG00000180806	HSA-MIR-196A-2	0.0815236
ENSG00000106004	HSA-MIR-196B	0.0813295
ENSG00000163071	HSA-MIR-34A	0.0812788
ENSG00000145287	HSA-MIR-4772	0.0811241
ENSG00000131620	HSA-MIR-145	0.0808073
ENSG00000227507	HSA-MIR-150	0.0803512
ENSG00000184305	HSA-MIR-218-1	0.0802467
ENSG00000079435	HSA-MIR-29B-1	0.0801645
ENSG00000079435	HSA-MIR-29B-2	0.0800941
ENSG00000151623	HSA-MIR-92A-1	0.0797381
ENSG00000101493	HSA-MIR-23B	0.0796525
ENSG00000168824	HSA-MIR-150	0.0795482
ENSG00000119632	HSA-MIR-1269A	0.0794212
ENSG00000068976	HSA-MIR-145	0.0793886
ENSG00000168993	HSA-MIR-339	0.0791973
ENSG00000169247	HSA-MIR-584	0.0788728
ENSG00000186998	HSA-MIR-1247	0.0788057
ENSG00000164237	HSA-MIR-139	0.0783044
ENSG00000151623	HSA-MIR-92A-2	0.0780351
ENSG00000180806	HSA-MIR-196A-1	0.0779869
ENSG00000078618	HSA-MIR-186	0.0777972
ENSG00000174307	HSA-MIR-34A	0.0774968
ENSG00000141985	HSA-MIR-92B	0.0771292
ENSG00000185499	HSA-MIR-92B	0.0771128
ENSG00000164944	HSA-MIR-30D	0.0768052
ENSG00000103710	HSA-MIR-145	0.076693
ENSG00000163463	HSA-MIR-148B	0.0765835
ENSG00000120280	HSA-MIR-223	0.0763569
ENSG00000161381	HSA-MIR-145	0.0763378
ENSG00000022840	HSA-MIR-615	0.0759515
ENSG00000016864	HSA-LET-7G	0.0758145
ENSG00000100346	HSA-MIR-150	0.0757191
ENSG00000134574	HSA-MIR-34A	0.0756791
ENSG00000108443	HSA-MIR-30B	0.0755929
ENSG00000100968	HSA-MIR-145	0.0752642
ENSG00000179091	HSA-MIR-30D	0.0751394
ENSG00000213928	HSA-MIR-150	0.0751337
ENSG00000153879	HSA-MIR-26A-2	0.0750256
ENSG00000155561	HSA-MIR-29A	0.0748067
ENSG00000127603	HSA-MIR-107	0.07479
ENSG00000261308	HSA-MIR-139	0.0747568
ENSG00000149577	HSA-MIR-29C	0.0746405
ENSG00000165660	HSA-MIR-152	0.0746001
ENSG00000156931	HSA-MIR-28	0.0745942
ENSG00000115896	HSA-MIR-192	0.0743576
ENSG00000084090	HSA-MIR-139	0.0742744
ENSG00000102245	HSA-MIR-150	0.0742411
ENSG00000196684	HSA-MIR-4772	0.0740846
ENSG00000158714	HSA-MIR-186	0.0740181
ENSG00000163536	HSA-MIR-139	0.0739337
ENSG00000122034	HSA-MIR-1-1	0.0739149
ENSG00000196712	HSA-MIR-423	0.0738672
ENSG00000175707	HSA-MIR-188	0.073453
ENSG00000122224	HSA-MIR-150	0.0734486
ENSG00000106397	HSA-MIR-187	0.0732356
ENSG00000170881	HSA-MIR-30B	0.0731047
ENSG00000188986	HSA-MIR-181A-1	0.0727315
ENSG00000018610	HSA-MIR-590	0.0726459
ENSG00000115935	HSA-MIR-197	0.0726224
ENSG00000168237	HSA-MIR-29B-2	0.072569
ENSG00000116688	HSA-MIR-17	0.0725332
ENSG00000164463	HSA-MIR-28	0.072449
ENSG00000165804	HSA-MIR-203B	0.0723541
ENSG00000114120	HSA-MIR-28	0.0722178
ENSG00000172175	HSA-MIR-210	0.0721912
